id,level,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers,description,rationale
44,cell type,Otic placode,Otic placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0, E9.5, E10.0",6037,"Epcam, Trpm3, Ptn, Wfdc2, Bmpr1b, Ror1, Sox9, Ccser1, Lmx1a, Spint2","Ptn, Trpm3, Sox9, Unc5c, Lmx1a, 2610035D17Rik, Dach1, Bmpr1b, Rtn1, Ror1","The otic placode is a thickened ectodermal epithelium adjacent to the hindbrain that invaginates to form the otic vesicle (otocyst), the precursor of the entire inner ear including the cochlea and vestibular apparatus. Arising from the pre-placodal ectoderm around E8.0–E8.5 in mouse, it undergoes progressive morphogenesis through E9.5–E10.0, giving rise to the sensory, non-sensory, and neurogenic compartments of the developing inner ear.","The assignment as otic placode is strongly supported by Sox9, a transcription factor essential for otic vesicle formation and subsequent chondrogenesis of the otic capsule, and Lmx1a, which specifies the non-sensory (dorsal) domain of the otic vesicle and is required for proper semicircular canal and endolymphatic duct development. Ptn (pleiotrophin), a growth factor enriched in the developing otic epithelium, and Dach1, a transcription factor implicated in otic and epibranchial placode specification, further reinforce this identity. The epithelial character of the placode is confirmed by Epcam, Wfdc2, and Spint2, while Bmpr1b reflects active BMP signaling critical for dorsoventral patterning of the otic vesicle, and Ror1 and Unc5c point to Wnt and netrin guidance pathways operative during otic morphogenesis and neuroblast delamination."
45,cell type,Otic sensory neuron,Otic sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",2170,"Neurod1, Thsd7b, Cadm1, Ebf1, Ppp1r14a, Tubb3, Ccnd1, Cotl1, Six1, Tmsb4x","Ccnd1, Fgf10, Bdnf, Kirrel3, Gfra1, Greb1l, Zfpm2, Irx1, Palld, Celf2",Otic sensory neurons are bipolar neurons that delaminate from the neurogenic region of the otic vesicle (developing inner ear) and coalesce to form the cochleovestibular ganglion (cranial nerve VIII). These neurons relay auditory and vestibular information from sensory hair cells to the brainstem. Their appearance at E9.0–E10.0 corresponds to the window of neuroblast delamination and early ganglion formation in mouse development.,"The name is strongly supported by Neurod1, a master transcription factor essential for otic neuroblast delamination, survival, and differentiation, alongside the pan-neuronal marker Tubb3 and the otic placode transcription factor Six1. Among local markers, Fgf10 specifically marks the neurogenic domain of the otic vesicle, while Bdnf encodes a neurotrophin critical for the survival and target innervation of cochleovestibular ganglion neurons. Additional local markers Gfra1 (a GDNF co-receptor enriching in otic neurons) and Greb1l (whose loss-of-function causes inner ear malformations) further distinguish these cells as otic-derived sensory neurons rather than other cranial sensory or placodal populations. The surface ectoderm lineage assignment is consistent with an otic placode origin."
46,cell type,Pre-placodal ectoderm,Pre-placodal ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.5, E9.0",4934,"Slc2a3, Epcam, Aldh1a3, Krt18, Sema3a, Spint2, Wfdc2, Cldn6, Igfbp5, Krt8","Aldh1a3, Map1b, Sema3a, Pcdh9, Phlda1, Nr2f1, Gas1, Zfhx4, Pkdcc, Sulf1","Pre-placodal ectoderm is a horseshoe-shaped domain of surface ectoderm that borders the anterior neural plate and gives rise to all cranial sensory placodes, including the olfactory, lens, otic, and epibranchial placodes. Present at E8.5–E9.0, this progenitor field is specified by the intersection of BMP attenuation, FGF, and retinoic acid signaling at the neural plate border, and represents a transient competence state before individual placodes become specified.","The surface ectoderm identity of this cluster is established by high expression of epithelial markers Epcam, Krt8, Krt18, and Cldn6, consistent with its placement in the surface ectoderm lineage. Strong enrichment of Aldh1a3, a retinoic acid-synthesizing enzyme prominently expressed in the pre-placodal region, is a hallmark of this cell type and its top local marker. Additional local markers Nr2f1 (COUP-TFI), a transcription factor active in placodal specification, and Sema3a, a semaphorin guiding cranial sensory neuron projections, further distinguish this population from neighboring surface ectoderm subtypes. The presence of signaling modulators Sulf1, Gas1, and Pkdcc alongside the E8.5–E9.0 staging aligns precisely with the window of pre-placodal ectoderm specification before resolution into discrete placodal territories."
47,cell type,,Surface ectoderm,,Surface ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",11237,"Epcam, Pdgfa, Fgf8, Wnt6, Adamts18, Trp63, Frem2, Bambi, Etl4, Fmn1","Fgf8, Bambi, Unc5c, Adamts18, Gja1, Wnt5a, Plpp3, Map2, Tcf7, Msx1","Surface ectoderm is the non-neural portion of the embryonic ectoderm that covers the outer surface of the embryo after neurulation. It gives rise to the epidermis, hair follicles, sensory placodes, and associated glands, and plays critical signaling roles in patterning underlying mesenchyme during craniofacial and limb development.","The marker gene profile strongly supports a surface ectoderm identity. Epcam and Trp63 (p63) are canonical markers of non-neural ectoderm and epidermal progenitors, while Wnt6 is specifically expressed in surface ectoderm where it signals to adjacent somitic mesoderm. Fgf8, Msx1, and Bambi point to ectodermal signaling centers involved in craniofacial and limb bud patterning, and Frem2 encodes an extracellular matrix protein essential for epidermal basement membrane integrity whose mutations cause skin blistering. The combination of epithelial adhesion markers (Epcam, Gja1), surface ectoderm-specific ligands (Wnt6, Fgf8, Wnt5a, Pdgfa), and ectodermal transcription factors (Trp63, Tcf7) collectively distinguishes this population from neural ectoderm and definitively identifies it as surface ectoderm."
47a,cell subtype,Apical ectodermal ridge,Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.5, E10.0",4521,"Fgf8, Adamts18, Pdgfa, Igfbp5, Epcam, Egr1, Hs6st3, Bambi, Wnt6, Fmn1","Fgf8, Bambi, Adamts18, Wnt5a, Hs6st3, Map2, Plpp3, Gja1, Dcbld1, Kirrel3","The apical ectodermal ridge (AER) is a specialized thickened epithelial structure that forms at the distal tip of the developing limb bud, serving as a critical signaling center for limb outgrowth and proximal-distal patterning. It secretes FGF ligands that maintain the underlying mesenchyme in a proliferative, undifferentiated state, and its appearance at E9.5–E10.0 coincides with the onset of forelimb and hindlimb bud emergence in the mouse.","The top global and local marker Fgf8 is the hallmark gene of the AER, encoding the principal FGF ligand required for sustained limb bud outgrowth and mesenchymal survival. Wnt5a, a prominent local marker, drives convergent extension movements essential for proximal-distal limb elongation, while Wnt6 in the global markers reflects the broader surface ectoderm identity from which the AER derives. Bambi, a BMP signaling pseudoreceptor enriched in this cluster, is consistent with the tight regulation of BMP activity needed to maintain AER integrity, and Hs6st3, a heparan sulfate sulfotransferase, likely modulates FGF–heparan sulfate interactions critical for AER signaling range and specificity. The epithelial marker Epcam and the presence of Fmn1—originally identified at the mouse limb deformity locus—further support the identification of this population as AER."
47b,cell subtype,Surface ectoderm (anterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.0, E8.5, E9.0",4504,"Epcam, Slc2a3, Krt18, Emb, Wfdc2, Spint2, Slc2a1, Krt8, Etl4, Ikzf2","Dlk1, Trpm3, Has2, Nkx2-3, Socs2, Pcdh7, Otx2, Emb, Prkg1, Unc5c","Surface ectoderm (anterior) is the non-neural ectoderm overlying the rostral (head) region of the mouse embryo during early organogenesis. This epithelial tissue gives rise to the anterior epidermis and contributes to cranial sensory placodes, including the lens and olfactory placodes. Present from E8.0 through E9.0, it represents the anterior domain of the surface ectoderm as it becomes regionalized along the body axis.","The global markers Epcam, Krt8, and Krt18 confirm a simple epithelial identity consistent with surface ectoderm, while Wfdc2 and Spint2 further support a non-neural ectodermal character. The anterior designation is strongly supported by the local marker Otx2, a transcription factor that is a master regulator of anterior (rostral) identity in the developing embryo and a definitive marker distinguishing head from trunk ectoderm. Additional local markers such as Nkx2-3, which is expressed in the pharyngeal and anterior endodermal/ectodermal region, and Unc5c, a netrin receptor involved in anterior morphogenetic signaling, reinforce the rostral positioning of this population relative to the other surface ectoderm subtypes."
47c,cell subtype,Surface ectoderm (posterior),Surface ectoderm,Surface ectoderm,Surface ectoderm,Ectoderm,"E8.0, E8.5, E9.0, E9.5, E10.0",2212,"Slc2a3, Epcam, Pdgfa, Krt18, Wnt6, Krt8, Hapln1, Spint2, Cldn6, Msx1","Msx1, Cdx2, Crabp1, Hoxaas3, S100a10, Phlda2, Pmp22, Hoxc8, Wnt6, Hapln1","Surface ectoderm (posterior) is the non-neural ectoderm overlying the caudal (trunk and tail) region of the mouse embryo, present from E8.0 through E10.0 as the body axis elongates. This epithelial population will give rise to the posterior epidermis and contributes to dorsal–ventral patterning of underlying tissues through secreted signals such as WNT6. It is distinguished from anterior surface ectoderm by its expression of posterior positional identity genes rather than cranial or placodal programs.","The surface ectoderm identity is established by global markers including the epithelial genes Epcam, Krt8, Krt18, Cldn6, and Spint2, together with Wnt6, a well-characterized signal secreted by surface ectoderm that patterns the adjacent somites and neural tube. The posterior designation is strongly supported by the local markers that distinguish this cluster from other surface ectoderm subtypes: Cdx2 and Hoxc8 are canonical posterior transcription factors that define caudal axial identity, while Hoxaas3 (a HoxA-cluster antisense transcript) further reinforces posterior Hox pathway activity. Additionally, Crabp1, encoding a retinoic acid–binding protein involved in posteriorizing gradients, and Msx1, a boundary-zone transcription factor enriched in posterior and ventral ectoderm, together confirm that this population represents the caudalmost domain of the surface ectoderm."
48,cell type,Trigeminal placode,Trigeminal placode,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",13443,"Igfbp2, Hapln1, Slc2a3, Sostdc1, S100a11, Epcam, Tpm1, Sema3a, Egr1, Wnt6","Igfbp2, Hapln1, Slc2a3, Ctnna2, Slit3, S100a10, S100a11, Sostdc1, Anxa2, Mt2","The trigeminal placode is a region of thickened surface ectoderm in the developing head that gives rise to somatosensory neurons of the trigeminal (cranial nerve V) ganglion, which mediates touch, pain, and temperature sensation across the face and jaw. Appearing from E9.0 onward in this dataset, these cells are undergoing specification and delamination from the surface ectoderm to contribute the placode-derived neuronal population of the trigeminal ganglion, complementing the neural crest-derived component. As part of the surface ectoderm lineage, trigeminal placode cells retain epithelial characteristics while activating a neurogenic program.","The surface ectoderm and epithelial identity of this cluster is supported by Epcam, Wnt6, Sostdc1, and the S100 family members S100a11 and S100a10, which collectively mark placodal ectoderm and distinguish it from neural crest-derived sensory neurons. Sema3a is a particularly informative marker, as it is a secreted guidance cue with a well-established role in trigeminal axon pathfinding and ganglion morphogenesis, strongly supporting trigeminal placode identity over other cranial placodes. The neurogenic character of these cells is reflected by Ctnna2 (neuronal alpha-N-catenin) and the axon guidance molecule Slit3, while Hapln1 and Igfbp2 suggest active extracellular matrix remodeling consistent with the delamination and migration of placode-derived neuroblasts during this developmental window."
49,cell type,Trigeminal sensory neuron,Trigeminal sensory neuron,Surface ectoderm,Surface ectoderm,Ectoderm,"E9.0, E9.5, E10.0",6382,"Tubb3, Sdk1, Thsd7b, Neurod1, Nrg1, Ebf1, Isl1, Cadm1, Eya2, Kcnb2","Nrg1, Ccnd2, Peg3, Ntm, Ptprd, Robo2, Sdk1, Kif19a, Elavl2, Tfap2a","Trigeminal sensory neurons are somatosensory neurons of the trigeminal ganglion (cranial nerve V) that innervate the face, jaw, and anterior head to relay touch, pain, and temperature signals. In the mouse embryo, a major population of these neurons derives from the trigeminal placode, a thickened region of surface ectoderm, consistent with the ectoderm/surface ectoderm lineage assignment. These neurons are among the earliest born sensory neurons, appearing from E9.0 onward as the trigeminal ganglion coalesces and extends peripheral and central projections.","The neuronal identity of this cluster is firmly established by pan-neuronal markers Tubb3 and Elavl2 together with the sensory neuron transcription factors Neurod1 and Isl1, both of which are essential for cranial sensory ganglion differentiation. A placode-derived trigeminal identity is supported by Eya2, a hallmark of placodal progenitors critical for trigeminal ganglion formation, and Tfap2a, which marks trigeminal placode-derived neurons and distinguishes them from neural crest-derived counterparts. Axon guidance and adhesion molecules such as Sdk1, Robo2, Nrg1, and Ntm reflect the active axonal outgrowth of trigeminal neurons during E9.0–E10.0 as they project toward their peripheral and central targets. The transcription factor Ebf1 further supports a sensory neuron classification, as it is expressed in developing cranial ganglia and required for proper sensory neuron maturation."
50,cell type,Definitive endoderm,Definitive endoderm,Early,Endoderm,Endoderm,E7.5,237,"Emb, Car4, Slc16a1, Slc2a3, Trh, Krt18, Krt8, Epcam, Spink1, Cldn6","Trh, Sfrp1, Cer1, Car2, Eda, Kitl, Elmo1, Sox17, Krt8, Cd24a","Definitive endoderm is an embryonic germ layer that emerges during gastrulation from the anterior primitive streak and displaces the earlier visceral endoderm to form the outermost epithelial layer of the embryo. Present at E7.5, these cells are the progenitors of the entire gut tube and its derivative organs, including the liver, pancreas, lungs, and thyroid. Definitive endoderm is distinguished from visceral (extraembryonic) endoderm by a distinct transcriptional program centered on key endoderm-specifying transcription factors.","The designation as definitive endoderm is strongly supported by the local marker Sox17, a master transcription factor that is both necessary and sufficient for definitive endoderm specification and is a canonical marker distinguishing this lineage from visceral endoderm. Cer1, another prominent local marker, encodes an anterior definitive endoderm signal that antagonizes Nodal, BMP, and Wnt pathways and is characteristic of the earliest definitive endoderm emerging from the anterior primitive streak. The epithelial identity of these cells is confirmed by global markers Krt8, Krt18, Epcam, and Cldn6, all hallmarks of endodermal epithelium, while Sfrp1 (a secreted Wnt antagonist enriched in nascent definitive endoderm) and Trh further refine the signature to this specific early endoderm population rather than later gut tube derivatives."
51,cell type,Gut,Gut,Early,Endoderm,Endoderm,E8.0,913,"Emb, Slc2a3, Car4, Krt18, Epcam, Krt8, Spink1, Slc16a1, Slc2a1, Apela","Apela, Spink1, Car4, Slc2a1, Trh, Slc16a1, Ifitm1, Emb, Cpn1, Sparc","Gut endoderm at E8.0 represents the nascent primitive gut tube forming as the definitive endoderm folds ventrally during embryo turning. At this stage, the gut epithelium is largely unregionalized, comprising a broad population of endoderm-derived cells that will subsequently pattern into foregut, midgut, and hindgut domains as organogenesis proceeds.","The epithelial identity of this population is established by strong expression of Krt8, Krt18, and Epcam, canonical markers of endoderm-derived epithelium. Enrichment for Spink1 (a serine protease inhibitor associated with gut and pancreatic epithelium) and Cpn1 (carboxypeptidase N) points specifically toward a gut epithelial rather than generic endodermal identity. Prominent expression of nutrient and metabolite transporters Slc2a1, Slc2a3, and Slc16a1 reflects the absorptive and metabolically active character of the emerging gut tube, while Apela—a key regulator of endoderm migration and gut morphogenesis—and Car4, which supports luminal pH homeostasis, further reinforce the designation as gut endoderm."
52,cell type,Prechordal plate,Prechordal plate,Endoderm and notochord,Mesoderm,Mesoderm,"E7.5, E8.0, E8.5, E9.0",243,"Shh, Slit2, T, Kirrel3, Krt8, Cthrc1, Krt19, Zfp385b, Krt18, Pcdh7","Kirrel3, Shh, Slit2, T, Zfp385b, Nog, Tmod2, Krt19, Alcam, Ptprd","The prechordal plate is a specialized axial mesendodermal structure situated at the anterior tip of the notochord, directly beneath the developing forebrain. It functions as a critical ventral midline signaling center during early embryogenesis, secreting morphogens that pattern the ventral forebrain, induce the hypothalamus, and establish bilateral symmetry of craniofacial structures. Its presence from E7.5 through E9.0 is consistent with its role in head organizer activity during gastrulation and early organogenesis.","The strong expression of Shh (Sonic hedgehog) is the hallmark of the prechordal plate, which serves as the primary source of Hedgehog signaling for ventral forebrain patterning and midline specification. Co-expression of T (Brachyury) confirms axial mesoderm identity, while Nog (Noggin), a BMP antagonist enriched in local markers, reflects the prechordal plate's organizer function in dorsalizing and anteriorizing adjacent neural tissue. The presence of Slit2, an axon guidance ligand expressed by midline structures, further supports an axial midline identity. Cytokeratins Krt8, Krt18, and Krt19 are consistent with the epithelial character of this mesendodermal derivative, distinguishing it from paraxial and lateral plate mesoderm populations."
53,cell type,,Foregut,,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",7135,"Epcam, 9030622O22Rik, Peg3, Mecom, Emb, Cpm, Fras1, Sema3c, Rcan2, Frem2","Mecom, Cdh6, 9030622O22Rik, Meis1, Galntl6, Sema3c, Peg3, Reln, Cdkn1c, Sfta3-ps","The foregut is the anterior segment of the definitive endoderm tube, established during gut tube morphogenesis as the embryo undergoes anterior-to-posterior patterning. Present from E8.5 through E10.0, foregut endoderm gives rise to the thyroid, thymus, lungs, liver, stomach, and dorsal pancreas. It is distinguished from hindgut and midgut endoderm by a distinct transcriptional program driven by anterior signaling gradients.","The epithelial endoderm identity of this cluster is confirmed by the pan-epithelial marker Epcam, while Mecom (Evi1) — the top local marker and a prominent global marker — is a well-established transcription factor enriched in foregut endoderm and critical for its development. Cpm (carboxypeptidase M), a recognized marker of ventral foregut and early lung progenitors, further supports anterior endoderm identity, as does Sfta3-ps, a surfactant-associated pseudogene indicative of emerging respiratory fate. The local enrichment of Meis1, a TALE-class homeodomain factor involved in anterior patterning, and Cdh6, a cadherin that distinguishes foregut from other gut tube domains, corroborates the foregut designation relative to neighboring endoderm subtypes."
53a,cell subtype,Foregut,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0",1723,"Ttr, Krt18, Bex1, Robo2, Emb, Krt8, Epcam, Car4, Bex4, Cldn6","Ttr, Cdkn1c, Reln, Hhex, Robo2, Peg10, Pyy, Apela, Phlda2, Car4","Foregut endoderm cells are the anterior portion of the definitive endoderm tube that gives rise to the thyroid, lungs, liver, pancreas, and proximal gastrointestinal tract. Present at E8.5–E9.0, these cells are undergoing regionalization and early organogenesis as the foregut pocket closes and visceral organ primordia begin to emerge.","The marker profile strongly supports a foregut endoderm identity. Ttr (transthyretin), the top global and local marker, is a classic marker of foregut-derived tissues including the developing liver and yolk sac endoderm. Hhex, a local marker, is a key transcription factor specifying foregut fate and is essential for liver and thyroid bud formation. Epithelial markers such as Krt18, Krt8, Epcam, and Cldn6 confirm the endodermal epithelial character of these cells, while Pyy (peptide YY) and Car4 (carbonic anhydrase 4) reflect early gut tube regionalization. The presence of Apela and the imprinted genes Peg10 and Phlda2 among local markers distinguishes this population from neighboring endoderm subtypes, consistent with the distinct signaling environment of the anterior endoderm."
53b,cell subtype,Pancreatic-biliary progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.5, E10.0",1056,"Nepn, Epcam, 9030622O22Rik, Peg3, Krt18, Rbp4, Emb, Spint2, Krt8, Onecut2","Onecut2, Nepn, Flrt2, Rbms3, Sfrp5, Pdx1, Nkx6-2, Sox9, Prox1, Ambp","Pancreatic-biliary progenitors are multipotent endodermal cells of the posterior foregut that give rise to the pancreas, gallbladder, and extrahepatic bile ducts. Emerging around E8.5–E9.5 in mouse development, these progenitors occupy a critical branch point where pancreatic and biliary fates diverge under the influence of local signaling gradients. Their presence from E9.0 to E10.0 in this dataset is consistent with the developmental window during which the ventral pancreatic and biliary buds are specified and begin morphogenesis.","The local markers strongly support a pancreatic-biliary progenitor identity, with Pdx1 marking the earliest pancreatic progenitor domain, Sox9 labeling the multipotent pancreatic epithelial progenitor pool, and Nkx6-2 identifying ventral foregut endoderm fated toward the pancreatic lineage. Biliary specification is evidenced by Prox1, which is essential for hepatobiliary morphogenesis and marks the biliary progenitor compartment, and by Ambp, a secreted protein characteristic of hepatobiliary tissues. Onecut2, the top local marker, is a transcription factor with well-established roles in both pancreatic endocrine differentiation and bile duct development, reinforcing the bipotent pancreatic-biliary identity. The co-expression of Sfrp5, a Wnt antagonist enriched in the pancreatic epithelium, alongside epithelial markers such as Epcam, Krt8, and Krt18 further confirms these cells as an epithelial endodermal progenitor population bridging pancreatic and biliary fates."
53c,cell subtype,Respiratory progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.0, E9.5, E10.0",2762,"Epcam, 9030622O22Rik, Krt18, Mecom, Peg3, Krt8, Emb, Bex1, Arg1, Cldn6","Sox2, 9030622O22Rik, Galntl6, Rarb, Ppp2r2b, Osr1, Hotairm1, Mecom, Meis1, Car4","Respiratory progenitors are ventral foregut endoderm cells that give rise to the trachea, bronchi, and lung epithelium, first specified around E9.0 in mouse development. This population represents the earliest committed precursors of the respiratory lineage, emerging as a bud from the anterior foregut and expanding through E10.0 as the lung buds undergo branching morphogenesis.","The local marker Sox2 is a key transcription factor that marks proximal airway progenitors and distinguishes the tracheal and bronchial epithelium from distal lung tip cells. Rarb (retinoic acid receptor beta) reflects active retinoic acid signaling, which is essential for respiratory specification from the foregut endoderm, while Mecom (a global and local marker) is a zinc-finger transcription factor implicated in lung epithelial development. Car4 (carbonic anhydrase 4) is characteristic of lung epithelial cells, and Osr1 has been associated with respiratory mesenchyme and progenitor patterning. The epithelial markers Epcam, Krt8, Krt18, and Cldn6 confirm the endodermal epithelial identity of this population, consistent with a foregut-derived respiratory progenitor state."
53d,cell subtype,Thyroid progenitor,Foregut,Endoderm and notochord,Endoderm,Endoderm,"E9.5, E10.0",1594,"Mecom, Sfta3-ps, Foxp2, Epcam, Nkx2-1, Shh, Sema3c, Ctnnd2, Krt18, Cpm","Sfta3-ps, Foxp2, Nkx2-1, Ctnnd2, Shh, Plcl1, Mecom, Lama3, Epha7, Irx2","Thyroid progenitors are a specialized population of foregut endoderm cells that give rise to the thyroid gland, the earliest endocrine organ to develop in the mouse embryo. These cells emerge from the pharyngeal floor of the anterior foregut around E8.5–E9.0, forming a midline bud that subsequently descends and bifurcates into the bilobed thyroid primordium by E10.0. They are characterized by expression of key transcription factors required for thyroid fate specification, maintenance of thyroid identity, and production of thyroid hormones in later development.","The designation as thyroid progenitor is strongly supported by the expression of Nkx2-1 (prominent in both global and local marker lists), the master transcription factor essential for thyroid bud specification and the earliest known marker of thyroid fate in the foregut endoderm. Shh, which is also highly ranked among both global and local markers, is expressed throughout the foregut endoderm and plays a critical signaling role in thyroid morphogenesis. Epithelial markers such as Epcam and Krt18 confirm the endodermal epithelial identity expected of foregut-derived thyroid progenitors, while Foxp2 and Irx2 are consistent with pharyngeal region patterning where the thyroid bud originates. The presence at E9.5–E10.0 aligns precisely with the developmental window of thyroid bud formation and early descent from the pharyngeal floor."
54,cell type,Hepatoblast,Hepatoblast,Endoderm and notochord,Endoderm,Endoderm,"E9.5, E10.0",2708,"Afp, Dlk1, Fgb, Reln, Ttr, Apoa2, Itih2, Rbp4, Apoe, Trf","Dlk1, Afp, Itih2, Reln, Fgb, Fabp5, Apoa2, Ambp, Serpina1b, Serpinf2","Hepatoblasts are the bipotential liver progenitor cells of the endoderm lineage that give rise to both hepatocytes and cholangiocytes (biliary epithelial cells). Emerging from the hepatic endoderm around E9.0 in the mouse as the liver bud forms, these cells rapidly proliferate and begin expressing early hepatic functions including serum protein synthesis and lipid metabolism, establishing the fetal liver as a major site of hematopoiesis and metabolic activity.","The marker gene profile strongly supports a hepatoblast identity, with Afp (alpha-fetoprotein) and Dlk1 (delta-like 1) serving as canonical markers of fetal liver progenitors that distinguish hepatoblasts from mature hepatocytes. Abundant expression of serum proteins such as Ttr (transthyretin), Apoa2, Apoe, Trf (transferrin), Rbp4, and Fgb (fibrinogen beta chain) reflects the early onset of hepatic secretory function characteristic of hepatoblasts. The presence of protease inhibitors Serpina1b, Serpinf2, Ambp, and the inter-alpha-trypsin inhibitor Itih2 further confirms hepatic identity, as these are hallmark products of liver parenchymal cells. The co-expression of Reln and Fabp5 alongside these liver-specific markers is consistent with the metabolically active, immature hepatic progenitor state seen at E9.0–E10.0, prior to full hepatocyte or cholangiocyte differentiation."
55,cell type,Hindgut,Hindgut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",7896,"Epcam, Gpc3, Spint2, Robo2, Cldn7, Cldn6, Bex1, Slc2a3, Ezr, Prickle1","Prickle1, Hoxa9, Map1b, Hoxa10, Mllt3, Amph, Fbn2, Wnt5a, Greb1, Trps1","The hindgut is the posterior segment of the embryonic gut tube, arising from the ventral folding of posterior definitive endoderm during embryo turning around E8.5. It gives rise to the distal large intestine, rectum, and contributes to the cloaca and allantois-associated structures. Its appearance at E8.5 and persistence through E10.0 is consistent with the progressive elongation and regionalization of the gut tube during these stages.","The hindgut identity is most clearly established by the local markers Hoxa9 and Hoxa10, posterior Hox genes whose expression defines the caudal domain of the gut tube and distinguishes hindgut from midgut and foregut endoderm along the anterior-posterior axis. Wnt5a, a non-canonical Wnt ligand essential for posterior body axis elongation and hindgut morphogenesis, further supports caudal gut identity. Global markers including Epcam, Cldn6, Cldn7, and Ezr confirm a definitive endoderm epithelial character, while Prickle1, a planar cell polarity component prominent in both marker lists, reflects the convergent extension movements driving gut tube elongation in this posterior region."
56,cell type,Midgut,Midgut,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",6501,"Rbp4, Epcam, Nepn, Krt18, Bex1, Krt8, Spint2, Peg3, Robo2, Cldn6","Rbp4, Nepn, Kcnq3, Prdm1, Elmo1, Kif26b, Dpp4, Tdh, Klhl13, Pitx2","The midgut is the central segment of the embryonic gut tube that forms between E8.5 and E10.0 as the lateral endodermal folds close along the anterior-posterior axis. This region gives rise to the distal duodenum, jejunum, ileum, cecum, and ascending colon, and is a major site of nutrient absorption in the mature intestine. During the stages captured here, midgut endoderm is undergoing regionalization, elongation, and the early stages of villus morphogenesis.","The epithelial endodermal identity of this cluster is established by Epcam, Krt8, Krt18, and the tight junction component Cldn6, while Spint2 further marks gut epithelium. Midgut regional identity is supported by Rbp4 and Nepn, both enriched in the midgut endoderm relative to foregut and hindgut, and by Dpp4, a dipeptidyl peptidase characteristic of the intestinal brush border epithelium that derives from the midgut. Pitx2, which drives left-right asymmetric gut looping and is prominently expressed in the midgut mesendoderm, and Prdm1, which marks the midgut-hindgut transition zone and is required for intestinal identity, provide additional regional specificity distinguishing this cluster from adjacent foregut and hindgut populations."
57,cell type,Parietal endoderm,Parietal endoderm,Endoderm and notochord,Endoderm,Endoderm,"E7.5, E8.0, E9.0, E9.5, E10.0",37,"Sparc, Col4a1, Fst, Cd9, Lama1, Fabp3, Col4a2, Lamc1, Lamb1, Srgn","Fst, Col4a1, Lama1, Sparc, Col4a2, Serpinh1, Lamc1, Lamb1, Srgn, Nid1","Parietal endoderm is an extraembryonic endoderm lineage that derives from primitive endoderm and migrates along the inner surface of the trophectoderm in the mouse embryo. Its primary function is the secretion of Reichert's membrane, a thick specialized basement membrane that separates the embryo from maternal tissues and serves as a structural and molecular barrier during early post-implantation development.","The marker gene signature is dominated by core basement membrane components characteristic of Reichert's membrane production. Col4a1 and Col4a2 encode the type IV collagen α1 and α2 chains, while Lama1, Lamb1, and Lamc1 encode the three subunits of laminin-111 (α1β1γ1), together constituting the major structural scaffolds of Reichert's membrane. Nid1 (nidogen-1) bridges these laminin and collagen IV networks, and Sparc facilitates basement membrane assembly, while Serpinh1 (HSP47) acts as a collagen-specific chaperone essential for proper collagen folding and secretion. The co-expression of this complete Reichert's membrane biosynthetic program, along with Fst (follistatin) which is a known parietal endoderm marker, firmly identifies these cells as parietal endoderm rather than visceral endoderm or other endodermal populations."
58,cell type,Pharyngeal endoderm,Pharyngeal endoderm,Endoderm and notochord,Endoderm,Endoderm,"E8.5, E9.0, E9.5, E10.0",13027,"Epcam, Igfbp5, Krt18, Spint2, Cldn6, Wfdc2, Etl4, Cldn7, Bex1, Sulf1","Sulf1, Adgrv1, Tmsb4x, Palld, Cacna2d1, Pax9, Ccser1, Uchl1, Foxe1, Sparc","Pharyngeal endoderm is the epithelial lining of the pharyngeal arches and pouches, a transient series of structures in the developing head and neck region. This tissue serves as a critical signaling center for craniofacial morphogenesis and gives rise to derivatives including the thyroid, parathyroid glands, thymus, and ultimobranchial body. Its appearance from E8.5 onward is consistent with the timing of pharyngeal arch formation in the mouse embryo.","The global markers confirm a definitive endodermal epithelial identity, with strong expression of pan-epithelial genes such as Epcam, Krt18, Cldn6, and Cldn7. The local markers distinguish this population from other endoderm subtypes and provide compelling evidence for pharyngeal regionalization: Pax9 is a transcription factor essential for pharyngeal pouch patterning and arch-derived organ development, while Foxe1 marks the pharyngeal endoderm domain fated to form the thyroid primordium. Additionally, Sulf1, an extracellular sulfatase that modulates Wnt and BMP signaling gradients, is prominently expressed in pharyngeal endoderm where it regulates signaling to adjacent neural crest mesenchyme during craniofacial development."
